num,word,count,,,,,
1,yeah,134,,,,,
2,you,116,,,,,
3,me,102,,,,,
4,gang,92,,,,,
5,i,74,,,,,
6,we,69,,,,,
7,know,64,,,,,
8,now,54,,,,,
9,my,49,,,,,
10,dpr,44,,,,,
