num,word,count,,,,,
1,gucci,100,,,,,
2,bank,40,,,,,
3,i,24,,,,,
4,wanna,20,,,,,
5,bewhy,27,,,,,
6,day,19,,,,,
7,the,17,,,,,
8,my,16,,,,,
9,be,14,,,,,
10,dejavu,13,,,,,
