num,word,count,,,,,
1,i,110,,,,,
2,you,62,,,,,
3,me,57,,,,,
4,a,42,,,,,
5,like,40,,,,,
6,why,27,,,,,
7,my,26,,,,,
8,ya,26,,,,,
9,homebody,22,,,,,
10,it,19,,,,,
