num,word,count,,,,,
1,water,120,,,,,
2,up,105,,,,,
3,yeah,84,,,,,
4,i,68,,,,,
5,it,54,,,,,
6,giddy,46,,,,,
7,like,45,,,,,
8,you,44,,,,,
9,ring,43,,,,,
10,live,41,,,,,
