num,word,count,,,,,
1,yeah,84,,,,,
2,dash,51,,,,,
3,i,41,,,,,
4,fuck,39,,,,,
5,it,29,,,,,
6,my,27,,,,,
7,on,24,,,,,
8,ooh,24,,,,,
9,treadmill,24,,,,,
10,to,23,,,,,
