num,word,count,,,,,
1,you,58,,,,,
2,i,40,,,,,
3,my,35,,,,,
4,na,28,,,,,
5,woo,25,,,,,
6,me,23,,,,,
7,been,22,,,,,
8,like,21,,,,,
9,to,20,,,,,
10,that,20,,,,,
