num,word,count,,,,,
1,ay,70,,,,,
2,huh,34,,,,,
3,i,27,,,,,
4,yeah,22,,,,,
5,yo,21,,,,,
6,that,19,,,,,
7,whoa,19,,,,,
8,out,18,,,,,
9,sold,18,,,,,
10,yuh,16,,,,,
