num,word,count,,,,,
1,ya,60,,,,,
2,you,47,,,,,
3,i,41,,,,,
4,yeah,37,,,,,
5,the,35,,,,,
6,forgot,29,,,,,
7,i'm,29,,,,,
8,in,23,,,,,
9,up,21,,,,,
10,we,21,,,,,
