num,word,count,,,,,
1,i,106,,,,,
2,know,66,,,,,
3,you,62,,,,,
4,turnin',56,,,,,
5,i'm,44,,,,,
6,yeah,42,,,,,
7,me,39,,,,,
8,love,35,,,,,
9,the,34,,,,,
10,to,33,,,,,
