num,word,count,,,,,
1,i,114,,,,,
2,you,73,,,,,
3,the,48,,,,,
4,know,46,,,,,
5,me,29,,,,,
6,buddy,28,,,,,
7,diamonds,28,,,,,
8,for,24,,,,,
9,yeah,20,,,,,
10,change,20,,,,,
