num,word,count,,,,,
1,it,85,,,,,
2,i,57,,,,,
3,you,57,,,,,
4,baby,55,,,,,
5,yeah,52,,,,,
6,a,46,,,,,
7,girl,39,,,,,
8,like,38,,,,,
9,we,30,,,,,
10,the,30,,,,,
