num,word,count,,,,,
1,i,57,,,,,
2,me,45,,,,,
3,yeah,41,,,,,
4,ya,35,,,,,
5,you,35,,,,,
6,a,28,,,,,
7,day,24,,,,,
8,just,23,,,,,
9,my,21,,,,,
10,like,21,,,,,
