num,word,count,,,,,
1,i,80,,,,,
2,beverly hills,60,,,,,
3,just,46,,,,,
4,to,44,,,,,
5,on,43,,,,,
6,wanna,37,,,,,
7,the,30,,,,,
8,welcome,30,,,,,
9,and,28,,,,,
10,time,20,,,,,
