num,word,count,,,,,
1,yeah,91,,,,,
2,movin,48,,,,,
3,i,46,,,,,
4,on,46,,,,,
5,wifey,42,,,,,
6,my,36,,,,,
7,turn,34,,,,,
8,gps,34,,,,,
9,i'm,33,,,,,
10,you,32,,,,,
