num,word,count,,,,,
1,the,32,,,,,
2,okay,31,,,,,
3,we,23,,,,,
4,road,15,,,,,
5,off,15,,,,,
6,i,12,,,,,
7,ya,11,,,,,
8,you,10,,,,,
9,good,9,,,,,
10,at,8,,,,,
