num,word,count,,,,,
1,you,71,,,,,
2,i,32,,,,,
3,party,19,,,,,
4,shoot,17,,,,,
5,yeah,16,,,,,
6,it,15,,,,,
7,life,15,,,,,
8,can,15,,,,,
9,a,14,,,,,
10,baby,14,,,,,
