num,word,count,,,,,
1,we,64,,,,,
2,and,62,,,,,
3,the,56,,,,,
4,2 chainz,49,,,,,
5,rollies,43,,,,,
6,yeah,36,,,,,
7,my,32,,,,,
8,i,31,,,,,
9,a,28,,,,,
10,ay,26,,,,,
