num,word,count,,,,,
1,i,53,,,,,
2,the,38,,,,,
3,yah,36,,,,,
4,anarchy,32,,,,,
5,in,29,,,,,
6,of,26,,,,,
7,me,25,,,,,
8,name,22,,,,,
9,hyperreal,21,,,,,
10,drunk,16,,,,,
