num,word,count,,,,,
1,i,36,,,,,
2,be,34,,,,,
3,oops,25,,,,,
4,your,25,,,,,
5,gone,23,,,,,
6,i'm,23,,,,,
7,turn,21,,,,,
8,wanna,21,,,,,
9,now,21,,,,,
10,you,21,,,,,
